vehicle_id,location,mean_speed,std_speed,mean_acc,std_acc,mean_headway,min_headway,mean_th,min_th,th_frac_critical,mean_delta_v,max_delta_v,lat_std,cmv_flag,near_miss
9,lankershim,13.430178236800002,8.264010324669707,0.6623999999999998,4.477043284515862,49.2432,21.53,7.715,0.84,0.58,27.3,761.2,15.070563911676244,0,1
10,lankershim,18.884313146,9.472791651718998,0.7228,3.9817533006125294,60.8886,21.71,2.6548,1.56,0.82,4.964000000000001,117.00000000000004,12.611652616706891,0,0
14,lankershim,22.7258121216,10.58206609333963,0.5794000000000001,4.566462664394194,78.36519999999997,26.33,10.729,0.85,0.64,37.91000000000001,360.4000000000001,13.763930454841535,0,1
17,lankershim,9.8654973692,8.469274893895104,1.1054,4.932310056129472,85.1304,23.25,14.896999999999998,1.12,0.3,41.33199999999999,1246.8,22.306339273070023,0,1
19,lankershim,11.2844969908,7.601596016548112,-0.1598,4.610189464431931,44.4898,27.5,13.707,1.39,0.6,9.244,153.6,4.297407479931525,0,1
19,lankershim,15.080450524000003,9.658258045768465,0.3404,3.596022723589414,44.528,27.5,25.703199999999995,1.29,0.76,12.32,153.6,4.917012354082922,0,1
19,lankershim,20.359358207200003,10.165345995065133,-0.2902,5.095288536020911,51.581,35.92,18.3176,0.93,0.84,19.184,356.6,5.794551488163652,0,1
24,lankershim,18.1183588048,6.811056813447377,0.0859999999999999,4.061649911058312,71.5484,25.86,3.5444,1.28,0.44,19.518,445.80000000000007,9.773867865958923,0,1
30,lankershim,15.5589503964,8.544346268954651,-0.0392,4.332544070456638,44.5142,22.17,6.274399999999999,1.08,0.82,34.998,686.0,6.240799241593784,0,1
36,lankershim,19.866812884,9.908641753687338,0.4744,5.071936859840044,79.374,18.91,4.7558,0.75,0.62,30.814,637.0999999999999,19.857230037383136,0,1
37,lankershim,20.382540019200004,9.523961091654488,0.8639999999999999,4.281677146127842,67.45819999999999,23.84,3.637,1.54,0.88,34.51399999999999,824.5999999999998,10.08740127390679,0,0
37,lankershim,20.879994432000004,9.737103711154449,0.2860000000000001,5.1885313088442615,103.1344,30.97,4.279399999999999,0.81,0.56,137.94600000000003,2319.3,6.842439837678144,0,1
38,lankershim,18.8708131496,7.614990349341137,0.7054,3.999413839705075,54.537600000000005,26.97,5.041600000000001,1.25,0.88,15.620000000000005,225.6,15.053090675339732,0,1
40,lankershim,23.0404029468,7.117422012207514,-0.6205999999999998,4.636819991400686,101.28059999999998,32.09,3.3306,1.79,0.66,66.85,917.2000000000002,25.9795194286278,0,0
53,lankershim,16.5905410304,11.924541465621733,0.839,4.463624522465014,71.8702,23.83,34.4532,1.37,0.54,138.06199999999998,3637.4,13.23237746113213,0,1
57,lankershim,23.087857479600004,6.023762518540628,0.2457999999999999,4.965176318878416,77.8334,29.35,2.449,0.98,0.7,45.086000000000006,605.5,32.64680279391686,0,1
59,lankershim,21.068858018000004,7.583254569689028,-1.1476,5.548359036688235,86.27759999999998,24.77,3.157,1.28,0.66,105.07,1269.9,17.480542520757187,0,1
61,lankershim,20.762312645200005,11.37172647973628,0.7417999999999999,4.591777784746317,102.1268,24.36,21.216000000000005,1.11,0.6,48.942,1853.2,16.38142547862782,0,1
65,lankershim,24.830993378399995,6.788174602023757,0.3588000000000001,7.5082625615968945,73.3236,3.69,1.99,0.14,0.92,116.036,2535.4,17.943211532680838,0,1
65,lankershim,23.8708572708,6.063492655080518,1.7614,4.827390392334144,67.101,3.69,1.8796,0.14,0.94,106.06400000000002,2535.4,11.843789411935932,0,1
66,lankershim,21.5296306224,3.780714263990363,-0.6988,5.630954042484402,62.75999999999999,26.69,2.0128,1.03,0.94,30.202,354.1,22.881741697622903,0,1
67,lankershim,25.4300386732,9.422385325961164,1.0377999999999998,4.599524948850918,191.1538,31.33,9.0182,0.61,0.74,1004.314,12121.5,21.16788643706908,0,1
68,lankershim,20.8114035412,7.8079304213388,0.8855999999999998,5.624825860343028,98.24519999999998,33.18,4.0314,0.91,0.68,308.612,12802.8,18.74690913723091,0,1
69,lankershim,22.1275850084,7.708305211922774,1.3396,6.106455587059869,104.6704,34.32,3.65,1.44,0.78,86.57599999999998,1602.8,19.282365899421773,0,1
71,lankershim,21.3276761308,12.27313025553625,1.1252,5.47851694515654,68.007,22.98,13.513800000000002,0.89,0.72,125.404,1191.5,31.620442998845935,0,1
71,lankershim,21.655903316000003,10.90532604669747,1.1002,4.561692976990727,81.56500000000001,22.98,12.7816,0.89,0.68,180.92,1311.1,32.583220072069274,0,1
71,lankershim,22.4116303872,8.68062623579901,0.3912,5.179500267439723,58.12040000000001,20.63,6.692800000000001,0.93,0.9,66.312,590.0999999999999,36.22422239771029,0,1
72,lankershim,23.988539057600004,6.722265326714468,0.0279999999999999,4.578858693907851,67.97399999999999,40.54,2.0474,1.13,0.92,11.597999999999995,332.2999999999999,13.77504888970916,0,1
73,lankershim,23.075857482800004,11.100773789782563,-1.7861999999999998,6.494806682014076,110.72959999999998,21.07,5.232200000000001,1.14,0.42,102.478,1543.2999999999995,34.4342871023422,0,1
74,lankershim,26.1713112028,5.43530231052493,-0.3879999999999999,6.365636701245594,152.15399999999997,36.32,3.9055999999999993,0.8,0.56,211.114,7622.199999999999,26.19934354548384,0,1
76,lankershim,24.238902627200005,13.877081663284224,-0.7604,5.524047599138789,117.2196,39.32,2.397,0.0,0.86,10.734000000000004,338.5,20.537170602026336,0,1
77,lankershim,23.903993625600005,9.217176960583751,-0.9982,6.6573024781599255,89.79199999999999,21.14,2.9886,0.84,0.78,53.45399999999999,722.8,21.856466459972857,0,1
77,lankershim,24.9972206068,5.103753248790218,-0.3411999999999999,5.588975168004545,57.0052,26.94,1.5966,0.88,0.96,40.88400000000001,588.4000000000001,26.235926967548348,0,1
78,lankershim,26.68212924840001,7.600340422678731,0.7358,4.455181386169756,105.7848,31.91,2.6616000000000004,1.11,0.72,2.676000000000002,120.49999999999996,15.267505329600764,0,1
81,lankershim,21.8939941616,9.679801748196493,1.6839999999999995,6.898231065768578,71.094,23.85,2.563,0.9,0.76,19.356,717.1000000000001,28.030762639562813,0,1
81,lankershim,23.420584663600003,6.702687515912704,0.6396000000000001,4.480042346738637,81.4584,38.8,2.4784,1.63,0.86,33.486,832.5999999999999,26.501541547192137,0,0
82,lankershim,22.0844941108,10.095087489698576,-0.4347999999999999,5.582915718365032,133.546,33.46,6.6766,1.42,0.64,0.6779999999999973,33.899999999999864,42.86322993884389,0,1
